source,target,weight
P001,P002,5
P001,P009,23
P001,P010,36
P001,P016,47
P001,P019,39
P002,P003,12
P003,P001,11
P003,P004,18
P003,P019,46
P004,P005,18
P004,P006,30
P004,P009,14
P004,P029,44
P005,P006,22
P005,P012,24
P005,P016,32
P005,P030,27
P006,P001,43
P006,P003,36
P006,P005,50
P006,P007,5
P006,P010,43
P006,P020,21
P007,P003,15
P007,P008,9
P008,P009,21
P008,P013,28
P008,P018,17
P008,P019,9
P008,P020,37
P009,P010,21
P009,P014,46
P009,P022,23
P009,P024,9
P009,P027,35
P010,P001,39
P010,P009,47
P010,P011,19
P010,P016,19
P010,P022,13
P011,P002,17
P011,P012,15
P012,P003,25
P012,P013,20
P012,P014,27
P012,P021,48
P013,P014,19
P013,P015,22
P013,P022,25
P013,P023,21
P014,P013,7
P014,P015,25
P015,P016,17
P015,P028,33
P016,P009,37
P016,P017,20
P016,P019,50
P016,P024,15
P017,P009,28
P017,P018,16
P017,P029,33
P018,P019,9
P018,P026,37
P019,P020,2
P020,P001,44
P020,P021,21
P020,P022,45
P020,P027,2
P020,P028,24
P021,P022,4
P021,P026,15
P021,P029,47
P022,P023,5
P022,P027,46
P023,P007,19
P023,P009,4
P023,P010,30
P023,P017,22
P023,P020,36
P023,P022,4
P023,P024,11
P023,P025,40
P024,P009,17
P024,P016,15
P024,P018,31
P024,P025,5
P025,P012,50
P025,P016,12
P025,P018,47
P025,P024,46
P025,P026,16
P025,P029,14
P026,P002,7
P026,P004,15
P026,P005,41
P026,P019,4
P026,P020,26
P026,P027,2
P027,P003,6
P027,P016,26
P027,P017,46
P027,P028,23
P028,P027,39
P028,P029,17
P029,P030,23
P030,P001,12
