source,target,weight
P001,P002,13
P001,P033,46
P001,P044,12
P001,P057,46
P001,P087,12
P001,P088,28
P002,P003,7
P002,P026,47
P002,P034,9
P003,P001,15
P003,P004,24
P003,P029,44
P003,P031,14
P003,P032,34
P003,P053,37
P003,P084,6
P004,P001,18
P004,P005,2
P004,P020,14
P004,P030,30
P005,P006,13
P005,P060,32
P005,P096,25
P006,P007,13
P006,P015,5
P006,P043,6
P006,P065,23
P006,P090,40
P007,P008,10
P007,P016,4
P007,P017,18
P007,P044,38
P007,P086,10
P008,P009,7
P008,P081,15
P008,P086,21
P009,P010,23
P009,P012,39
P009,P049,22
P009,P055,3
P009,P083,39
P009,P084,50
P009,P094,5
P009,P098,38
P010,P011,2
P010,P015,5
P010,P038,27
P011,P012,8
P011,P015,41
P011,P064,46
P012,P013,11
P012,P018,27
P012,P040,40
P013,P014,21
P013,P081,7
P013,P097,46
P014,P008,16
P014,P015,21
P014,P072,44
P015,P016,13
P015,P037,15
P015,P049,29
P015,P096,39
P016,P017,18
P016,P058,9
P016,P080,35
P017,P001,39
P017,P018,2
P017,P024,12
P017,P095,4
P018,P001,10
P018,P019,20
P018,P030,43
P018,P055,17
P019,P020,18
P019,P036,44
P020,P021,21
P020,P034,7
P020,P059,12
P020,P073,45
P020,P074,15
P020,P079,50
P021,P006,7
P021,P022,19
P021,P046,33
P021,P050,45
P021,P077,9
P022,P023,3
P022,P025,37
P022,P033,39
P022,P062,44
P022,P071,37
P023,P014,36
P023,P024,21
P023,P046,7
P023,P088,48
P024,P009,17
P024,P025,8
P024,P034,47
P024,P089,33
P024,P091,49
P025,P022,15
P025,P026,2
P026,P027,2
P027,P028,11
P027,P055,8
P027,P083,4
P027,P085,5
P027,P094,46
P028,P027,7
P028,P029,17
P028,P035,44
P028,P096,43
P028,P097,3
P029,P011,45
P029,P030,20
P029,P062,2
P029,P073,39
P029,P083,11
P030,P031,6
P030,P032,22
P030,P049,14
P030,P053,43
P030,P062,33
P031,P032,11
P031,P033,31
P031,P073,19
P032,P002,44
P032,P025,18
P032,P033,23
P032,P063,38
P032,P088,26
P033,P006,26
P033,P034,9
P033,P065,37
P033,P088,25
P034,P020,31
P034,P035,15
P034,P038,19
P034,P039,15
P034,P047,6
P034,P059,32
P035,P036,18
P035,P064,30
P035,P075,8
P035,P076,33
P036,P028,18
P036,P037,23
P036,P059,47
P036,P100,3
P037,P038,21
P037,P069,14
P037,P087,35
P037,P095,32
P038,P017,8
P038,P039,16
P038,P066,7
P038,P096,2
P039,P002,36
P039,P014,47
P039,P020,42
P039,P023,32
P039,P026,12
P039,P040,4
P039,P047,47
P039,P051,15
P039,P079,34
P039,P098,17
P040,P041,17
P040,P068,13
P040,P078,4
P040,P092,26
P041,P042,7
P041,P048,15
P041,P050,47
P041,P054,21
P042,P041,34
P042,P043,15
P043,P032,17
P043,P044,14
P043,P068,6
P043,P091,34
P043,P095,7
P043,P098,32
P044,P038,49
P044,P045,12
P044,P047,34
P044,P050,6
P044,P063,30
P044,P088,50
P045,P046,22
P045,P060,19
P045,P075,40
P045,P077,33
P046,P040,13
P046,P047,9
P046,P063,42
P046,P094,19
P047,P006,47
P047,P036,45
P047,P048,13
P047,P065,13
P048,P011,26
P048,P030,43
P048,P033,37
P048,P049,20
P049,P036,15
P049,P050,8
P049,P057,37
P049,P083,41
P050,P038,6
P050,P042,14
P050,P051,19
P050,P058,6
P050,P062,18
P050,P089,14
P050,P094,28
P050,P096,29
P051,P024,33
P051,P052,7
P051,P079,17
P051,P100,49
P052,P018,43
P052,P053,13
P052,P090,50
P052,P098,8
P053,P022,28
P053,P054,9
P053,P086,17
P054,P004,12
P054,P011,11
P054,P055,10
P054,P057,21
P054,P068,32
P054,P069,9
P054,P088,24
P055,P056,2
P055,P083,43
P056,P039,40
P056,P040,16
P056,P057,25
P056,P073,26
P057,P010,31
P057,P014,34
P057,P055,13
P057,P058,17
P057,P064,35
P057,P097,20
P058,P059,23
P058,P076,9
P058,P100,33
P059,P020,9
P059,P057,11
P059,P060,18
P059,P076,2
P059,P082,42
P060,P061,17
P060,P067,24
P061,P024,32
P061,P053,2
P061,P062,11
P061,P068,42
P061,P072,28
P061,P078,37
P061,P084,47
P061,P090,25
P062,P010,29
P062,P022,4
P062,P063,9
P062,P098,34
P063,P017,50
P063,P023,28
P063,P028,30
P063,P064,13
P063,P067,22
P063,P073,47
P064,P018,40
P064,P065,24
P064,P096,35
P065,P034,16
P065,P066,17
P065,P076,45
P065,P078,3
P066,P007,43
P066,P016,48
P066,P046,49
P066,P067,7
P067,P009,35
P067,P068,20
P067,P077,46
P068,P010,38
P068,P022,35
P068,P035,22
P068,P044,30
P068,P058,19
P068,P069,16
P069,P021,12
P069,P027,12
P069,P034,13
P069,P037,40
P069,P070,18
P069,P072,28
P070,P039,26
P070,P055,48
P070,P071,19
P070,P095,47
P071,P010,20
P071,P017,48
P071,P047,10
P071,P072,23
P072,P029,2
P072,P040,46
P072,P073,9
P072,P095,40
P073,P014,39
P073,P030,25
P073,P056,4
P073,P068,40
P073,P074,25
P073,P100,17
P074,P037,7
P074,P075,5
P075,P005,39
P075,P024,16
P075,P036,30
P075,P043,38
P075,P062,24
P075,P070,8
P075,P076,3
P075,P093,31
P076,P005,21
P076,P022,28
P076,P054,7
P076,P057,3
P076,P077,25
P076,P082,46
P077,P019,47
P077,P020,30
P077,P078,25
P078,P079,17
P079,P054,35
P079,P080,22
P080,P020,40
P080,P071,47
P080,P081,20
P081,P013,35
P081,P047,25
P081,P066,7
P081,P073,44
P081,P082,8
P081,P090,30
P082,P002,13
P082,P021,40
P082,P059,29
P082,P083,25
P083,P037,12
P083,P039,38
P083,P066,11
P083,P084,25
P083,P094,34
P084,P023,8
P084,P057,3
P084,P064,23
P084,P085,10
P084,P090,28
P085,P002,2
P085,P005,49
P085,P049,30
P085,P086,22
P086,P028,15
P086,P049,42
P086,P076,23
P086,P087,14
P087,P013,50
P087,P053,12
P087,P085,21
P087,P088,16
P088,P074,29
P088,P089,23
P089,P030,47
P089,P043,40
P089,P084,43
P089,P090,13
P089,P091,48
P090,P012,7
P090,P091,6
P091,P086,47
P091,P092,19
P092,P047,31
P092,P056,30
P092,P093,10
P093,P027,30
P093,P094,18
P094,P007,33
P094,P010,2
P094,P039,38
P094,P043,32
P094,P062,11
P094,P095,8
P095,P096,15
P095,P097,4
P096,P006,26
P096,P028,37
P096,P044,26
P096,P055,25
P096,P060,7
P096,P095,21
P096,P097,15
P097,P018,3
P097,P024,41
P097,P064,6
P097,P083,20
P097,P094,38
P097,P098,5
P098,P039,5
P098,P040,5
P098,P057,49
P098,P099,21
P099,P001,42
P099,P014,41
P099,P031,41
P099,P036,14
P099,P045,45
P099,P047,7
P099,P052,38
P099,P060,3
P099,P100,20
P100,P001,22
P100,P027,10
P100,P054,24
