source,target,weight
P001,P002,5
P001,P009,21
P001,P019,23
P001,P030,46
P001,P053,14
P002,P003,16
P002,P057,31
P003,P004,4
P003,P012,12
P003,P024,11
P003,P034,12
P003,P052,24
P004,P005,2
P004,P009,9
P004,P016,6
P004,P041,34
P004,P044,44
P004,P056,33
P005,P006,22
P005,P013,49
P005,P046,33
P006,P007,12
P006,P022,48
P006,P032,40
P006,P034,47
P006,P040,47
P007,P008,14
P007,P014,2
P007,P042,14
P008,P009,22
P008,P025,36
P008,P030,43
P008,P037,15
P009,P010,7
P009,P053,34
P010,P011,14
P010,P016,5
P010,P055,24
P011,P006,14
P011,P010,15
P011,P012,7
P011,P014,25
P011,P024,3
P011,P028,37
P011,P043,27
P012,P010,16
P012,P013,13
P012,P027,35
P012,P045,23
P012,P048,29
P012,P052,24
P013,P014,21
P013,P018,27
P013,P023,12
P013,P043,33
P013,P046,49
P014,P003,11
P014,P004,22
P014,P006,20
P014,P015,7
P014,P016,6
P014,P019,15
P015,P002,17
P015,P016,10
P015,P038,40
P015,P054,23
P015,P055,35
P015,P057,45
P016,P001,29
P016,P017,11
P016,P031,38
P016,P032,15
P016,P044,20
P016,P050,20
P016,P054,36
P016,P055,29
P017,P014,15
P017,P018,23
P017,P031,49
P017,P036,40
P017,P059,48
P018,P002,50
P018,P019,21
P018,P035,32
P018,P038,48
P019,P020,4
P019,P033,33
P019,P051,3
P019,P053,44
P019,P059,3
P020,P014,48
P020,P016,5
P020,P021,22
P020,P042,4
P020,P046,25
P020,P056,29
P021,P005,35
P021,P014,7
P021,P018,43
P021,P022,23
P021,P040,25
P021,P043,43
P021,P057,19
P021,P058,48
P022,P009,15
P022,P021,18
P022,P023,12
P022,P027,14
P022,P044,27
P022,P060,7
P023,P024,11
P023,P032,36
P023,P036,12
P023,P039,23
P023,P042,5
P024,P011,15
P024,P023,42
P024,P025,4
P024,P031,13
P025,P026,10
P025,P028,18
P025,P045,50
P026,P012,9
P026,P024,13
P026,P027,22
P026,P041,13
P026,P044,47
P026,P047,36
P027,P004,12
P027,P017,38
P027,P028,10
P027,P035,13
P027,P045,9
P028,P005,22
P028,P008,4
P028,P012,39
P028,P029,15
P028,P042,2
P028,P052,26
P028,P060,21
P029,P030,18
P029,P038,23
P030,P009,50
P030,P026,46
P030,P027,46
P030,P031,9
P030,P053,12
P030,P056,12
P031,P011,29
P031,P023,43
P031,P032,7
P031,P051,25
P032,P002,11
P032,P005,5
P032,P020,32
P032,P025,25
P032,P033,25
P032,P043,4
P032,P048,2
P032,P059,6
P033,P001,2
P033,P014,49
P033,P024,46
P033,P034,12
P033,P037,16
P033,P051,29
P034,P008,28
P034,P035,13
P034,P043,9
P035,P023,24
P035,P026,24
P035,P036,9
P035,P041,24
P036,P003,21
P036,P022,35
P036,P033,49
P036,P037,14
P036,P038,17
P037,P016,28
P037,P025,46
P037,P038,16
P037,P041,44
P037,P044,24
P038,P026,4
P038,P039,14
P038,P042,11
P038,P050,34
P038,P056,4
P038,P059,3
P039,P016,25
P039,P040,7
P039,P044,22
P039,P045,45
P040,P001,34
P040,P010,39
P040,P013,23
P040,P016,23
P040,P028,26
P040,P041,16
P040,P052,31
P041,P005,32
P041,P019,31
P041,P042,13
P041,P050,26
P042,P011,29
P042,P013,29
P042,P027,7
P042,P039,17
P042,P043,25
P042,P050,10
P042,P051,18
P043,P005,9
P043,P033,49
P043,P037,39
P043,P044,12
P043,P046,37
P044,P010,14
P044,P021,14
P044,P045,21
P045,P046,5
P046,P022,6
P046,P042,38
P046,P047,8
P046,P050,20
P047,P026,36
P047,P040,37
P047,P041,34
P047,P048,3
P048,P025,30
P048,P049,12
P049,P022,44
P049,P030,40
P049,P039,37
P049,P040,22
P049,P050,17
P050,P008,3
P050,P051,10
P051,P006,41
P051,P035,12
P051,P042,44
P051,P052,18
P052,P002,41
P052,P028,38
P052,P045,9
P052,P053,5
P053,P035,49
P053,P036,31
P053,P054,10
P053,P057,49
P054,P003,41
P054,P007,26
P054,P010,30
P054,P018,23
P054,P037,12
P054,P055,15
P055,P024,6
P055,P044,19
P055,P048,31
P055,P056,14
P056,P033,15
P056,P034,30
P056,P057,20
P057,P018,9
P057,P055,37
P057,P056,47
P057,P058,4
P058,P021,49
P058,P023,10
P058,P029,35
P058,P030,2
P058,P039,34
P058,P059,7
P059,P007,50
P059,P035,16
P059,P060,10
P060,P001,20
P060,P017,19
P060,P019,27
P060,P031,47
P060,P036,33
